source_key	jambu_id	id_basis	headword	gloss	tags	accent_type	turner	first_proto_form	proto_accent_nucleus	proto_nuclei	etymology	inflection
liljegren-LX001888	f_yshdh3mtm2ed6	source-key alias	ráal	high	adj indecl	first-mora	2208	*uparalla-		4	*uparalla- 'upper' (T: 2208)	
liljegren-LX001889	f_w45sgqrju5to2	source-key alias	ráal bhíi	to rise, climb	verb intr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001890	f_yjmbfhdk7fwzu	source-key alias	ráal thíi	to raise, lift	verb tr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001891	f_zwahgkgiydy3e	source-key alias	ráang	colour; paint; complexion	noun m Palula-noun-class-i	first-mora				0		Inflection: i-decl (Obl, pl): rangí
liljegren-LX001892	f_mjklye6cysjss	source-key alias	ráang díi	to paint	verb tr compound conjunct-verb non-incorporating	multiple				0		Restriction: Masc agr with non-verb element in pfv; object in oblique case
liljegren-LX001893	f_ngygjwbkf7xwa	source-key alias	ráat	blood	noun m Palula-noun-class-a	first-mora	10539	rakta-		2	rakta- 'coloured, dyed; red; blood (neut)' (T: 10539)	Inflection: a-decl (Obl, pl): ratá; Morphemic form: rat
liljegren-LX001894	f_5iz34b66lch6i	source-key alias	raát	night (as a measure of time); 24-hour period	noun f Palula-noun-class-i	second-mora	10702	rā́trī-	1	2	rā́trī- 'night (fem)' (T: 10702)	Inflection: i-decl (Pl): reetí
liljegren-LX001895	f_q2wn3qv65bwia	source-key alias	raatúku	of night (and day) periods	adj	short-or-diphthong				0		Inflection: Reg (Fem): raatúki; Morphemic form: raat-úk-
liljegren-LX001896	f_fsmcc654zohni	source-key alias	raawáṣ	upper lip area; the space between the mouth and the nose	noun f	short-or-diphthong				0		
liljegren-LX001897	f_yfglzr377fwnc	source-key alias	raazí	satisfied	adj indecl loanword loan:Arabic loan:Persian loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Persian/Arabic): raazii, raaǰii	Usage: Primarily used as a non-verb element in complex predicates
liljegren-LX001898	f_bszov7ydk6kky	source-key alias	raazí bhíi	to agree, consent	verb intr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001899	f_4xzcgpn42qz66	source-key alias	raɣáṣṭi	early	adv temporal loanword loan:Khowar	short-or-diphthong		Origin:		2	Origin: Khowar: raɣešṭi	Restriction: Biori
liljegren-LX001900	f_adedokottbt5o	source-key alias	raiís	Rais, a ruling dynasty in Chitral, or a ruler of that dynasty	noun m proper-noun Palula-noun-class-aan	second-mora				0		Inflection: aan-decl (Obl): -á, (Pl): -aán
liljegren-LX001901	f_akgk6qnqccffm	source-key alias	raǰúuṭi	small rope, string	noun f Palula-noun-class-m	first-mora				0		Inflection: m-decl (Pl): -m
liljegren-LX001902	f_gtokf36cmcf2s	source-key alias	ram raám the	firmly	multiword-expression	second-mora				0		
liljegren-LX001903	f_h3ry42aduq4vm	source-key alias	rasuúl	the prophet Muhammad	noun m Palula-noun-class-a loanword loan:Arabic loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Arabic): rasuul	Inflection: a-decl (Obl): -á
liljegren-LX001904	f_rwkvrpwahrnk6	source-key alias	rawaán	moving	adj indecl loanword loan:Persian loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Persian): rawaan	Usage: Primarily used as a non-verb element in complex predicates
liljegren-LX001905	f_m6uy5nom3opwm	source-key alias	rawaán bhíi	to move, get going, set out	verb intr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001906	f_5vwtuo2iykvpq	source-key alias	reemáts	fish	noun f Palula-noun-class-i	short-or-diphthong	10867	rōhitamatsya-		5	rōhitamatsya- 'the fish Cyprinus rohitaka (m)' (T: 10867)	Inflection: i-decl (Obl, pl): -í
liljegren-LX001907	f_qgxif3ksw253o	source-key alias	rháai	desire	noun f loanword loan:Persian loan:Urdu	first-mora		Origin:		2	Origin: Urdu (Persian): rahaaˈii	
liljegren-LX001908	f_iotovgbnbv3vc	source-key alias	rhaíi	footprint	noun f Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl, pl): -a
liljegren-LX001909	f_omb6vmshn4rc4	source-key alias	rhalá	up; above; on top	adv spatial	short-or-diphthong				0		
liljegren-LX001910	f_tikuhndsv7gwu	source-key alias	rhalikoóṭ	Rhalikot (site of ancient fort in Ashret)	noun m proper-noun Palula-noun-class-a	second-mora				0		Inflection: a-decl (Ob): -á
liljegren-LX001911	f_i4epwziehkgiq	source-key alias	rhoó	song; music	noun m Palula-noun-class-a	second-mora				0		Inflection: a-decl (Obl, pl): -á
liljegren-LX001912	f_rmjksorgvpzdo	source-key alias	rhoó díi	to sing	verb tr compound conjunct-verb non-incorporating	multiple				0		
liljegren-LX001913	f_wrbm4lkflf2p4	source-key alias	rhoošnaám	morning	noun m Palula-noun-class-i	second-mora				0		Inflection: i-decl (Obl): rhoošneemí
liljegren-LX001914	f_rsigevrxy44hg	source-key alias	rhootašíi	the day tomorrow; morning	noun f Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl, pl): -a
liljegren-LX001915	f_nj7bbz4aqg4bo	source-key alias	rhootašíia	tomorrow; in the future	adv temporal	first-mora				0		
liljegren-LX001916	f_p6sludip34t44	source-key alias	ríi	to weep	verb intr Palula-verb-class-L-minor	first-mora	10840	rudáti	2	3	rudáti 'weeps' (T: 10840)	Inflection: L:minor (Prs): ruáanu, (Pfv): rúulu, (Cv): reé, (Imp): ro; Morphemic form: ro-
liljegren-LX001917	f_escgdhcybsaa6	source-key alias	ríiẓ	goat track (in the mountains)	noun m Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl, pl): -a
liljegren-LX001918	f_pke6tngkb2kbc	source-key alias	rikaáḍ	recording; record	noun f Palula-noun-class-i loanword loan:English loan:Urdu	second-mora		Origin:		2	Origin: Urdu (English 'record')	Inflection: i-decl (Obl, pl): rikeeḍí; Usage: Primarily used as a non-verb element in complex predicates
liljegren-LX001919	f_wivegaw2k6gr6	source-key alias	rikaáḍ thíi	to record	verb tr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001920	f_5lwwh7nopmjpy	source-key alias	rištá	relationship	noun m Palula-noun-class-ee loanword loan:Persian loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Persian): rišta	Inflection: ee-decl (Pl): rišteé
liljegren-LX001921	f_bavhvqkomw3ba	source-key alias	rištaá	really, in truth; actually	adv sentential loanword loan:Pashto	second-mora		Origin:		2	Origin: Pashto: rixtiiˈaa	
liljegren-LX001922	f_jevhihyuwbjuo	source-key alias	riwaáǰ	custom, tradition	noun f Palula-noun-class-i loanword loan:Arabic loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Arabic): rawaaǰ, riwaaǰ	Inflection: i-decl (Obl, pl): riweeǰí
liljegren-LX001923	f_jptfusbobvnkk	source-key alias	riwaayát	traditions, customs	noun f Palula-noun-class-i loanword loan:Arabic loan:Persian loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Persian/Arabic): riwaayat	Inflection: i-decl (Obl): -í; Usage: Plural reference
liljegren-LX001924	f_jcnbnivqkeiss	source-key alias	rizárab	extra	adj indecl	short-or-diphthong				0		
liljegren-LX001925	f_djsxpydyzzm7e	source-key alias	ríziq	daily bread	noun f Palula-noun-class-a loanword loan:Arabic loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Arabic): rizq	Inflection: a-decl (Obl, pl): rízqa
liljegren-LX001926	f_5lpi7m74kfwhm	source-key alias	rooṣíǰa	to become angry	verb intr Palula-verb-class-L-consonant	short-or-diphthong				0		Inflection: L:cons (Prs): rooṣiǰáanu, (Pfv): rooṣiǰílu, (Cv): rooṣiǰí; Morphemic form: rooṣíǰ-
liljegren-LX001927	f_7375t3pe4rnl2	source-key alias	róot	night (as opposed to day)	noun m Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl): róota; Morphemic form: ráat
liljegren-LX001928	f_lls7y463jqqpu	source-key alias	rueelá	government official with special resposibility for the forest (in the past)	noun m Palula-noun-class-ee	short-or-diphthong				0		Inflection: ee-decl (Pl): rueeleé
liljegren-LX001929	f_hgjj3f6nqsqug	source-key alias	ruikúṛi	witch, mythical forest woman	noun f Palula-noun-class-irregular	short-or-diphthong				0		Inflection: Irr (Pl): ruikuṛíina
liljegren-LX001930	f_2bwoi5eojzum4	source-key alias	rúǰi	rice	noun f Palula-noun-class-m loanword loan:Pashto	short-or-diphthong		Origin:		2	Origin: Pashto: wriǰey	Inflection: m-decl (Pl): -m
liljegren-LX001931	f_gquk24gpx5vng	source-key alias	rumiaál	handkerchief	noun f Palula-noun-class-i loanword loan:Persian loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Persian): ruu-maal, rumaal	Inflection: i-decl (Obl, pl): rumieelí, rumeelí
liljegren-LX001932	f_udfymv6asrtsy	source-key alias	rupái	rupee (currency)	noun f Palula-noun-class-a loanword loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu: rupaˈe, rupai	Inflection: a-decl (Pl): rupée
liljegren-LX001933	f_nv7xinqt5xuho	source-key alias	rusúx	power, influence	noun f Palula-noun-class-i loanword loan:Arabic loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Arabic): rusuux	Inflection: i-decl (Obl): -í
liljegren-LX001934	f_me63v2p7nf5sg	source-key alias	rúulu	wept (masc sg)	verb intr	first-mora				0		
liljegren-LX001935	f_me63v2p7nf5sg	unique cited original and full etymology	rúulu	tear	noun m Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl, pl): rúula
liljegren-LX001936	f_2hvg6wuzavhks	source-key alias	rúuṣ	anger	noun f Palula-noun-class-a	first-mora	10856	rōṣa-		2	rōṣa- 'anger, fury (m)' (T: 10856)	Inflection: a-decl (Obl): ̥̥-a
liljegren-LX001937	f_hnvwynfw6f6ig	source-key alias	saadá	simple (person)	adj indecl loanword loan:Persian loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Persian): saada	
liljegren-LX001938	f_jvs5aaq4v2pca	source-key alias	saamaán	things, stuff	noun f Palula-noun-class-i loanword loan:Persian loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Persian): saamaan, samaan	Inflection: i-decl (Obl): saameení
liljegren-LX001939	f_pcfgv3phwnl66	source-key alias	sáamu	like, equal to	adj	first-mora				0		Inflection: Uml (Fem): séemi
liljegren-LX001940	f_sbr5xhsa3l2l2	source-key alias	saaṇḍú	brother-in-law; a man's wife's sister's husband	noun m Palula-noun-class-aan	short-or-diphthong				0		Inflection: aan-decl (Pl): saaṇḍugaán
liljegren-LX001941	f_stjehsosoczzo	source-key alias	sáar	lake, pond, puddle	noun f Palula-noun-class-i	first-mora	13254	sáras-	1	2	sáras- 'lake, pool (neut)' (T: 13254)	Inflection: i-decl (Obl, pl): sarí; Morphemic form: sar
liljegren-LX001942	f_fhzjfg4ycebt4	source-key alias	saaraá	wilderness; desert	noun m Palula-noun-class-i loanword loan:Arabic loan:Persian	second-mora		Origin:		2	Origin: Persian (Arabic)?: sahraa	Inflection: i-decl (Pl): saarái
liljegren-LX001943	f_r3zm43mk74opc	source-key alias	saaréeṇi	sister-in-law; a man's wife's sister	noun f Palula-noun-class-m	first-mora				0		Inflection: m-decl (Pl): -m
liljegren-LX001944	f_w6c3h7mrsozrm	source-key alias	saaróoṇu	brother-in-law; a woman's sister's husband	noun m Palula-noun-class-a	first-mora	13871	*syārāṇikā-		4	*syārāṇikā- 'wife's brother (m)' (T: 13871)	Inflection: a-decl (Obl, pl): saaróoṇa
liljegren-LX001945	f_bkvropwimluxu	source-key alias	sáat	seven	num	first-mora	13139	saptá	2	2	saptá '7' (T: 13139)	Morphemic form: sat
liljegren-LX001946	f_zgflggyq6gtpw	source-key alias	saatíi	to take care of, protect; manage	verb tr Palula-verb-class-L-e	first-mora				0		Inflection: L:e (Prs): saatáanu, (Pfv): seetílu, (Cv): seetí, (Imp): saatá; Morphemic form: saat-é-
liljegren-LX001947	f_lc2nlvqh5ysjs	source-key alias	sáatru	low (about building, etc.)	adj	first-mora	13363	sārtra-		2	sārtra- 'asylum, abode (n)' (T: 13363)	Inflection: Uml (Fem): séetri; Morphemic form: satr-
liljegren-LX001948	f_tyw4ud46jgcqa	source-key alias	saáu	Sau (village in Kunar Valley, Afghanistan)	noun m proper-noun Palula-noun-class-a	second-mora				0		Inflection: a-decl (Obl): saawá
liljegren-LX001949	f_gtwl7aagxboiq	source-key alias	saáz	healthy; whole	adj indecl loanword loan:Persian loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Persian): saaz	Usage: Exclusively used as a non-verb element in complex predicates
liljegren-LX001950	f_awm6pc44456y4	source-key alias	saáz bhíi	to heal; be restored; become well; come to terms	verb intr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001951	f_uqci6xvzxwu4m	source-key alias	saáz thíi	to build; to repair	verb tr compound conjunct-verb incorporating	multiple				0		
liljegren-LX001952	f_5dkduv2tne234	source-key alias	sabáq	lesson	noun f loanword loan:Arabic loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Arabic): sabaq	Inflection: i-dcel (Obl, pl): -í
liljegren-LX001953	f_fow355rq6u6vo	source-key alias	sábur	patience	noun m Palula-noun-class-a loanword loan:Arabic loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Arabic): sabr, sabar	Inflection: a-decl (Obl, pl): -a
liljegren-LX001954	f_z43hpce7vto6a	source-key alias	sábur thíi	to exercise patience, be patient	verb tr compound conjunct-verb non-incorporating	multiple				0		
liljegren-LX001955	f_sexottoiv2tga	source-key alias	sabzí	vegetables	noun f Palula-noun-class-a loanword loan:Persian loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Persian): sabzii	Inflection: a-decl (Pl): -á
liljegren-LX001956	f_4vwxqnbxpencu	source-key alias	safaá	clean; clear	adj indecl loanword loan:Arabic loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Arabic): safaa	
