source_key	jambu_id	id_basis	headword	gloss	tags	accent_type	turner	first_proto_form	proto_accent_nucleus	proto_nuclei	etymology	inflection
liljegren-LX001200	f_y5du37vosssnu	source-key alias	khaṣíi	hoe	noun f Palula-noun-class-a	first-mora	2909	karṣí-	2	2	karṣí- 'furrowing' (T: 2909)	Inflection: a-decl (Obl, pl): -a
liljegren-LX001245	f_zf6hpg6bh23hw	source-key alias	kiroóṛ	chest	noun m Palula-noun-class-a	second-mora	3607	krōḍá-	2	2	krōḍá- 'breast, bosom' (T: 3607)	Inflection: a-decl (Obl): -á
liljegren-LX001257	f_vqyhefphhardq	source-key alias	kóok	crow	noun m Palula-noun-class-a	first-mora	2993	kā́ka-	1	2	kā́ka- 'crow (masc)' (T: 2993)	Inflection: a-decl (Obl, pl): -a; Morphemic form: káak
liljegren-LX001258	f_ajjtn2tbz5rp2	source-key alias	koomáalu	soft	adj	first-mora	3523	kōmalá-	3	3	kōmalá- 'tender, soft' (T: 3523)	Inflection: Uml (Fem): kooméeli; Morphemic form: koomál-
liljegren-LX001260	f_7indwgqabf7be	source-key alias	kóoṇ	arrow	noun m Palula-noun-class-a	first-mora	3023	kā́ṇḍa-	1	2	kā́ṇḍa- 'single joint of a plant; arrow; cluster, heap (masc.neut)' (T: 3023)	Inflection: a-decl (Obl, pl): -a
liljegren-LX001267	f_7hyftv5pgyvaa	source-key alias	kráam	work; deed, behaviour	noun m Palula-noun-class-a	first-mora	2892	kárman-	1	2	kárman- 'act, work (neut)' (T: 2892)	Inflection: a-decl (Obl, pl): -a; Morphemic form: kram
liljegren-LX001273	f_oalouf5f65klk	source-key alias	kriṣíṇu	black	adj	short-or-diphthong	3451	kr̥ṣṇá-	2	2	kr̥ṣṇá- 'dark blue, black' (T: 3451)	Inflection: Reg (Fem): kriṣíṇi; Morphemic form: kriṣíṇ-
liljegren-LX001362	f_bfujkgwk5yhhy	source-key alias	lhoóku	small; (small) child	adj	second-mora	10896	laghú-	2	2	laghú- 'light; slight, quick' (T: 10896)	Inflection: Reg (Fem): lhoóki; Morphemic form: lhoók-
liljegren-LX001364	f_3sbkaab5ucw2e	source-key alias	lhoóṇ	salt	noun m Palula-noun-class-a	second-mora	10978	lavaṇá-	3	3	lavaṇá- 'salt; salty' (T: 10978)	Inflection: a-decl (Obl): -á
liljegren-LX001395	f_esvzm62hpxagk	source-key alias	máakaṛ	monkey	noun m Palula-noun-class-a	first-mora	9882	markáṭa-	2	3	markáṭa- 'monkey (m)' (T: 9882)	Inflection: a-decl (Obl, Pl): -a
liljegren-LX001453	f_xxis7rguuywnk	source-key alias	meec̣hí	honey	noun f Palula-noun-class-a	short-or-diphthong	9989	mākṣiká-	3	3	mākṣiká- 'pertaining to a bee; honey' (T: 9989)	Inflection: a-decl (Obl): -á
liljegren-LX001461	f_cls6acuscyck6	source-key alias	méeṭi	clay; mud	noun f	first-mora	10286	mŕ̥ttikā-	1	3	mŕ̥ttikā- 'earth, clay' (T: 10286)	
liljegren-LX001474	f_nlvpea42ce6sy	source-key alias	mhaás	meat, piece of flesh	noun m Palula-noun-class-a	second-mora	9982	mām̆sá-	2	2	mām̆sá- 'flesh (neut)' (T: 9982)	Inflection: a-decl (Obl, pl): -á
liljegren-LX001475	f_g2opknhvlnivk	source-key alias	mheél	buttermilk (lassi)	noun f Palula-noun-class-i	second-mora	9767	mathitá-	3	3	mathitá- 'stirred, churned; buttermilk churned without water (n)' (T: 9767)	Inflection: i-decl (Obl): -í
liljegren-LX001479	f_p5kfqitphd65a	source-key alias	mhoóru	sweet; tasty	adj	second-mora	9793	madhurá-	3	3	madhurá- 'sweet' (T: 9793)	Inflection: Reg (Fem): mhoóri
liljegren-LX001481	f_dtxoaiqybabne	source-key alias	míi	marrow; animal fat	noun f Palula-noun-class-a	first-mora	10323	mḗdas-	1	2	mḗdas- 'fat, marrow (n)' (T: 10323)	Inflection: a-decl (Obl): -a
liljegren-LX001499	f_niv3aowsktqg6	source-key alias	móoṇ	nest	noun f Palula-noun-class-a	first-mora	10042	mā́na-	1	2	mā́na- 'house, dwelling (m)' (T: 10042)	Inflection: a-decl (Obl, pl): -a; Morphemic form: máaṇ
liljegren-LX001500	f_22rm67maifzs2	source-key alias	móoṇuṣ	person, human being	noun m Palula-noun-class-a	first-mora	10049	mā́nuṣa-	1	3	mā́nuṣa- 'human (fem) ; man (masc)' (T: 10049)	Inflection: a-decl (Obl, pl): -a
liljegren-mring	f_tfoimyuqbovj2	source-key alias	mring	markhor (generic)	noun m Palula-noun-class-a	implicit-short	10264	mr̥gá-	2	2	mr̥gá- 'wild animal, deer' (T: 10264)	Inflection: a-decl (Obl): -a; Restriction: With plural reference
liljegren-LX001518	f_oau7i4hyzhjzy	source-key alias	mulái	radish	noun f Palula-noun-class-a	short-or-diphthong	10250	mū́la-	1	2	mū́la- 'root (n)' (T: 10250)	Inflection: a-decl (Obl, pl): mulée
liljegren-mung			mung	pea; bean	noun m Palula-noun-class-a	implicit-short	10198	mudgá-	2	2	mudgá- 'the bean Phaseolus mungo' (T: 10198)	Inflection: a-decl (Obl, pl): -a
liljegren-LX001535			múṣṭi	fist; shaft	noun f Palula-noun-class-m	short-or-diphthong	10221	muṣṭí-	2	2	muṣṭí- 'clenched hand, fist (m.f); handful' (T: 10221)	Inflection: m-decl (Pl): -m
liljegren-LX001544	f_j63nofzsszerc	source-key alias	múṭi	arm	noun f Palula-noun-class-m	short-or-diphthong	10221	muṣṭí-	2	2	muṣṭí- 'clenched hand, fist (masc.fem); handful' (T: 10221)	Inflection: m-decl (Pl): -m
liljegren-LX001550	f_lbfd44wga5rkw	source-key alias	múutr	urine	noun m Palula-noun-class-a	first-mora	10234	mū́tra-	1	2	mū́tra- 'urine (n)' (T: 10234)	Inflection: a-decl (Obl): -a
liljegren-LX001563	f_te7erw54blipe	source-key alias	náanu	naked	adj	first-mora	6926	nagná-	2	2	nagná- 'naked' (T: 6926)	Inflection: Uml (Fem): néeni; Morphemic form: nan-
liljegren-LX001569	f_gyj7em6aqpm4e	source-key alias	náawu	new	adj	first-mora	6983	náva-	1	2	náva- 'new, young' (T: 6983)	Inflection: Uml (Fem): néewi; Morphemic form: naw-
liljegren-LX001586	f_cfjnikckhxgmi	source-key alias	neeṛíi	root	noun f Palula-noun-class-a	first-mora	7047	nāḍí-	2	2	nāḍí- 'tubular stalk of any plant, tubular organ, tube' (T: 7047)	Inflection: a-decl (Obl, pl): -a; Restriction: Biori
liljegren-LX001595	f_kffd6gadmjs24	source-key alias	níilu	green, blue	adj	first-mora	7563	nī́la-	1	2	nī́la- 'dark blue, dark green, black' (T: 7563)	Inflection: Reg (Fem): níili; Morphemic form: níil-
liljegren-LX001596	f_ljwjwikhzurw6	source-key alias	níindra	sleep	noun f Palula-noun-class-irregular	first-mora	7200	nidrā́-	2	2	nidrā́- 'sleep (fem)' (T: 7200)	Inflection: Irr (Obl): -m; Restriction: In the plural
liljegren-LX001622	f_pat2mxozepzli	source-key alias	nóo	name	noun m Palula-noun-class-a	first-mora	7067	nā́man-	1	2	nā́man- 'name (neut)' (T: 7067)	Inflection: a-decl (Obl, pl): nóowa; Morphemic form: náau
liljegren-LX001625	f_d7jo25vaj6y4e	source-key alias	nóong	finger-nail	noun m Palula-noun-class-a	first-mora	6914	nakhá-	2	2	nakhá- 'nail (of finger or toe), claw (masc.neut)' (T: 6914)	Inflection: a-decl (Obl, pl): -a; Morphemic form: náang
liljegren-LX001627	f_kfcfwhixxlmjg	source-key alias	nóoṛ	canal; inlet; flume	noun f Palula-noun-class-a	first-mora	7047	nāḍí-	2	2	nāḍí- 'tubular stalk of any plant, tubular organ, tube' (T: 7047)	Inflection: a-decl (Obl, pl): -a; Morphemic form: náaṛ
liljegren-LX001632	f_xwhsjzmk7plme	source-key alias	núu	nine	num	first-mora	6984	náva	1	2	náva 'nine' (T: 6984)	
liljegren-LX001649	f_bofzrqsrbabiy	source-key alias	óomu	unripe; raw	adj	first-mora	1236	āmá-	2	2	āmá- 'raw' (T: 1236)	Inflection: Uml (Fem): éemi; Morphemic form: áam-
liljegren-LX001676	f_tnld5kmccn6za	source-key alias	páam	lamb's wool	noun m Palula-noun-class-a	first-mora	7638	pákṣman-	1	2	pákṣman- 'eyelashes; hair of a deer, filament of a flower; petal of a flower; a thin thread (n)' (T: 7638)	Inflection: a-decl (Obl): páama
liljegren-LX001677	f_sr7ofangymbyy	source-key alias	páand	path, road	noun f Palula-noun-class-a	first-mora	7785	pánthā-	1	2	pánthā- 'path, road (masc)' (T: 7785)	Inflection: a-decl (Obl, pl): -a; Morphemic form: pánd
liljegren-LX001678	f_a6lnhdjqs3q4k	source-key alias	páanǰ	five	num	first-mora	7655	páñca	1	2	páñca 'five' (T: 7655)	Morphemic form: panǰ
liljegren-LX001714	f_irdjwtnn2inog	source-key alias	panǰíiš	fifteen	num	first-mora	7662	páñcadaśa	1	4	páñcadaśa 'fifteen' (T: 7662)	Morphemic form: panǰéeš
liljegren-LX001716	f_dm4orq5vixtfi	source-key alias	paṇáaru	white	adj	first-mora	8047	pā́ṇḍara-	1	3	pā́ṇḍara- 'whitish-yellow, yellow, pale, white' (T: 8047)	Inflection: Uml (Fem): paṇéeri; Morphemic form: paṇár-
liljegren-LX001749	f_56ce4vgqoqs4i	source-key alias	peeróoṇ	shirt	noun m Palula-noun-class-a	first-mora	7838	paridhā́na-	3	4	paridhā́na- 'garment (esp. undergarment) (n)' (T: 7838)	Inflection: a-decl (Obl, pl): -a
liljegren-LX001767	f_gwdvoemg5gx7s	source-key alias	phalúuṛu	grain	noun m Palula-noun-class-a	first-mora	9051	phála-	1	2	phála- 'fruit (neut); *grain; seed of a fruit; spot on a dice' (T: 9051)	Inflection: a-decl (Obl, pl): phalúuṛa
liljegren-LX001787	f_c63tb6ti2ir3a	source-key alias	phiíṇ	steam; vapour	noun f Palula-noun-class-i	second-mora	9108	phḗna-	1	2	phḗna- 'foam, froth' (T: 9108)	Inflection: i-decl (Obl): -í
liljegren-LX001790	f_jxzfbrvavutio	source-key alias	phóol	ploughshare	noun m Palula-noun-class-a	first-mora	9072	phā́la-	1	2	phā́la- 'ploughshare (m); mattock' (T: 9072)	Inflection: a-decl (Obl, pl): -a; Morphemic form: pháal
liljegren-LX001822	f_vx36rzijigvho	source-key alias	píṇi	calf (of leg)	noun f Palula-noun-class-m	short-or-diphthong	8168	píṇḍa-	1	2	píṇḍa- 'lump, clod, piece; mouthful, ball of rice etc.; calf of leg (m)' (T: 8168)	Inflection: m-decl (Pl): -m
liljegren-LX001827	f_7qdkcg67xmtcg	source-key alias	pitrí	uncle; father's brother; father's cousin	noun m Palula-noun-class-a	short-or-diphthong	8188	pítriya-	1	3	pítriya- 'paternal; eldest brother who takes place of father' (T: 8188)	Inflection: a-decl (Pl): -á
liljegren-LX001837	f_56vaazzvhgbry	source-key alias	práašu	ribs	noun f Palula-noun-class-irregular	first-mora	7948	párśu	1	2	párśu 'rib' (T: 7948)	Inflection: Irr (Obl): práaša, (Pl): -m; Restriction: With plural reference
liljegren-LX001843	f_7n5ypz73bkhxm	unique cited original and full etymology	preṣ	mother-in-law; husband's or wife's mother	noun f Palula-noun-class-i	implicit-short	12759	śvaśrū́-	2	2	śvaśrū́- 'husband's or wife's mother (fem)' (T: 12759)	Inflection: i-decl (Obl, pl): -í
liljegren-LX001853	f_ff4rkot57t4uy	source-key alias	puróoṇu	old	adj	first-mora	8283	purāṇá-	3	3	purāṇá- 'ancient' (T: 8283)	Inflection: Uml (Fem): puréeṇi; Morphemic form: puráaṇ-
liljegren-putr	f_z2ntq7ceeuxyo	unique cited original and full etymology	putr	son	noun m Palula-noun-class-a	implicit-short	8265	putrá-	2	2	putrá- 'son (masc)' (T. 8265)	Inflection: a-decl (Obl, pl): -á
liljegren-LX001859	f_uxifaw6txup2a	source-key alias	puunǰí	full	adj indecl	short-or-diphthong	8342	pūryátē	2	3	pūryátē 'is filled' (T: 8342)	
liljegren-LX001865	f_exojng6zn4a36	source-key alias	púutru	grandson; son's son	noun m Palula-noun-class-a	first-mora	8416	paútra-	1	2	paútra- 'son's son (m)' (T: 8416)	Inflection: a-decl (Obl, pl): púutra
liljegren-LX001886	f_pwufykb5b7jkm	source-key alias	ráaǰ	rope	noun f Palula-noun-class-a	first-mora	10582	rájju-	1	2	rájju- 'rope, cord (fem)' (T: 10582)	Inflection: a-decl (Obl, pl): -a; Morphemic form: raǰ
liljegren-LX001894	f_5iz34b66lch6i	source-key alias	raát	night (as a measure of time); 24-hour period	noun f Palula-noun-class-i	second-mora	10702	rā́trī-	1	2	rā́trī- 'night (fem)' (T: 10702)	Inflection: i-decl (Pl): reetí
liljegren-LX001941	f_stjehsosoczzo	source-key alias	sáar	lake, pond, puddle	noun f Palula-noun-class-i	first-mora	13254	sáras-	1	2	sáras- 'lake, pool (neut)' (T: 13254)	Inflection: i-decl (Obl, pl): sarí; Morphemic form: sar
liljegren-LX001945	f_bkvropwimluxu	source-key alias	sáat	seven	num	first-mora	13139	saptá	2	2	saptá '7' (T: 13139)	Morphemic form: sat
liljegren-LX001970	f_ubdwh4ic73zpc	source-key alias	saṇḍá	buffalo bull	noun m Palula-noun-class-aan	short-or-diphthong	13331	sā́ṇḍa-	1	2	sā́ṇḍa- 'uncastrated (of bull)' (T: 13331)	Inflection: aan-decl (Pl): saṇḍagaán
liljegren-LX001981	f_menivji7rndby	source-key alias	satóoš	seventeen	num	first-mora	13146	saptádaśa	2	4	saptádaśa '17' (T: 13146)	Morphemic form: satáaš
liljegren-LX001991	f_eukvhudzgf24a	source-key alias	séeti	thigh	noun f Palula-noun-class-m	first-mora	13073	sakthán-	2	2	sakthán- 'thigh, thighbone' (T: 13073)	Inflection: m-decl (Pl): -m
liljegren-LX001999	f_p7tyx6mawteau	source-key alias	síiu	bridge	noun f Palula-noun-class-a	first-mora	13585	sḗtu-	1	2	sḗtu- 'dam, bridge; boundary (m)' (T: 13585)	Inflection: a-decl (Obl, pl): síiwa
liljegren-LX002010	f_a5lmqdh2pkpay	source-key alias	sígal	sand (fine, black)	noun m Palula-noun-class-a	short-or-diphthong	13386	síkatā-	1	3	síkatā- 'grain of sand; sand, gravel (fem)' (T: 13386)	Inflection: a-decl (Obl): -a
liljegren-LX002017	f_ld5ctwlfiuf2k	source-key alias	soór	ice; hard snow	noun m Palula-noun-class-a	second-mora	13355	sára-	1	2	sára- 'hardness (of wood); best part' (T: 13355)	Inflection: a-decl (Obl): -á
liljegren-LX002028	f_f5ppuzenbgtk6	source-key alias	súuri	sun	noun f Palula-noun-class-m	first-mora	13574	sū́riya	1	3	sū́riya 'sun (masc)' (T: 13574)	Inflection: m-decl (Pl): -m
liljegren-LX002029	f_nzb6jsirkxzou	source-key alias	súutr	thread	noun m Palula-noun-class-a	first-mora	13561	sū́tra	1	2	sū́tra 'thread, cord' (T: 13561)	Inflection: a-decl (Obl, pl): -a
liljegren-LX002032	f_vtca5gbhbbbmi	source-key alias	šaák	wood	noun m Palula-noun-class-a	second-mora	12379	śākhyá-	2	2	śākhyá- 'belonging to or resembling a branch, branching' (T: 12379)	Inflection: a-decl (Obl, pl): -á
liljegren-LX002045	f_qyujgywu2gcdq	source-key alias	šaraál	autumn	noun m Palula-noun-class-a	second-mora	12329	śarád-	2	2	śarád- 'autumn (fem)' (T: 12329)	Inflection: a-decl (Obl, pl): šaralá
liljegren-LX002046	f_cdpvr4q6njvco	source-key alias	šarái	she-deer; female markhor	noun f Palula-noun-class-a Palula-noun-class-m	short-or-diphthong	12331	śarabhá-	3	3	śarabhá- 'a kind of deer' (T: 12331)	Inflection: a-decl/m-decl (Pl): šarée, šaraíim
liljegren-LX002060	f_55ww7ppfj4keu	source-key alias	šidáalu	cold	adj	first-mora	12487	śītalá-	3	3	śītalá- 'cold' (T: 12487)	Inflection: Uml (Fem): šidéeli; Morphemic form: šidál-
liljegren-LX002065	f_bbmp5mitxaydq	source-key alias	šíin	bed (charpoy, string bed)	noun m Palula-noun-class-a	first-mora	12323	šáyana-	1	3	šáyana- 'lying down, bed (neut)' (T: 12323)	Inflection: a-decl (Obl, pl): -a; Morphemic form: šéen
liljegren-LX002076	f_5t7zez6ciunua	source-key alias	šilúuk	story, tale	noun m Palula-noun-class-a	first-mora	12748	ślṓka-	1	2	ślṓka- 'sound, hymn of praise; stanza (m)' (T: 12748)	Inflection: a-decl (Obl, pl): -a
liljegren-LX002085	f_f2ix3lgckfyla	source-key alias	šišáwu	beautiful	adj	short-or-diphthong	12642	śṓśucat-	1	3	śṓśucat- 'shining brightly' (T: 12642) ; *suśōbha- 'splendid' (T: 13534)	Inflection: Reg (Fem): šišáwi
liljegren-LX002093	f_meems6e5ejkpm	source-key alias	šóong	branch (of tree)	noun m Palula-noun-class-a	first-mora	12260	śan̆kú-	2	2	śan̆kú- 'peg, spike; stake, post; stick, arrow (masc)' (T: 12260)	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáang
liljegren-LX002108	f_d6oho7dkvavmi	source-key alias	šumaáṇ	trouser-cord	noun f Palula-noun-class-i	second-mora	13878	syū́man-	1	2	syū́man- 'band, thong, bridle (n)' (T: 13878)	Inflection: i-decl (Obl, pl): šumaṇí
liljegren-LX002114	f_nyc3xud7fztig	source-key alias	šúur	father-in-law; husband's or wife's father	noun m Palula-noun-class-a	first-mora	12753	śváśura-	1	3	śváśura- 'husband's father; wife's father (masc)' (T: 12753)	Inflection: a-decl (Obl): šúura; Morphemic form: šáur
liljegren-LX002118	f_kc6kvll2w3jp2	source-key alias	ṣáak	rear shoulder	noun m Palula-noun-class-a	first-mora	13576	srákva-	1	2	srákva- 'corner of mouth, jaws (m or n)' (T: 13576)	Inflection: a-decl (Obl, pl): ṣaká
liljegren-LX002134	f_h4uv3b62lwjzk	source-key alias	ṣing	horn	noun m Palula-noun-class-a	implicit-short	12583	śŕ̥n̆ga-	1	2	śŕ̥n̆ga- 'horn (neut)' (T: 12583)	Inflection: a-decl (Obl, pl): -a
liljegren-LX002136	f_iwco3hm3obb4k	unique cited original and full etymology	ṣiṣ	head; hair	noun m Palula-noun-class-a	implicit-short	12497	śīrṣá-	2	2	śīrṣá- 'head, skull (neut)' (T: 12497)	Inflection: a-decl (Obl, pl): -á
liljegren-LX002145	f_zw6hwi6npjnfw	source-key alias	ṣoṛíiš	sixteen	num	first-mora	12812	śṓḍaśa	1	3	śṓḍaśa 'sixteen' (T: 12812)	Morphemic form: ṣoṛéeš
liljegren-LX002153	f_6ox4hgaqjgej6	source-key alias	ṣúuṛu	hole	noun m Palula-noun-class-a	first-mora	12572	śūrtá-	2	2	śūrtá- 'crushed, broken' (T: 12572)	Inflection: a-decl (Obl, pl): ṣúuṛa
liljegren-LX002170	f_nguvkfcw5lnf2	source-key alias	táatu	hot	adj	first-mora	5679	taptá-	2	2	taptá- 'heated, hot' (T: 5679)	Inflection: Uml (Fem): téeti; Morphemic form: tat-
liljegren-LX002232			thúlu	fat (about animals)	adj	short-or-diphthong	13776	sthūlá-	2	2	sthūlá- 'large, thick, stout' (T: 13776)	Inflection: Reg (Fem): thúli; Morphemic form: thul-
liljegren-LX002233	f_sbi4ypdzr4mau	source-key alias	thúri	heel	noun f Palula-noun-class-m	short-or-diphthong	13775	sthūrá-	2	2	sthūrá- 'big, strong' (T: 13775)	Inflection: m-decl (Pl): -m
liljegren-LX002234	f_azhf4jkzsskhk	source-key alias	thúuṇi	pillar	noun f Palula-noun-class-m	first-mora	13774	sthū́ṇā-	1	2	sthū́ṇā- 'post, pillar' (T: 13774)	Inflection: m-decl (Pl): -m
liljegren-LX002237	f_yr3bcs6m4torm	source-key alias	tíiṇu	sharp	adj	first-mora	5839	tīkṣṇá-	2	2	tīkṣṇá- 'sharp; hot, pungent' (T: 5839)	Inflection: Reg (Fem): tíiṇi; Morphemic form: tíiṇ-
liljegren-LX002248	f_s6qaocpdipeio	source-key alias	tóoru	star	noun m Palula-noun-class-a	first-mora	5798	tāraká-	3	3	tāraká- 'belonging to the stars' (T: 5798)	Inflection: a-decl (Obl, pl): tóora
liljegren-LX002252	f_3hgioebrm3emi	source-key alias	traambú	wasp	noun m Palula-noun-class-aan Palula-noun-class-i	short-or-diphthong	5664	tántra-	1	2	tántra- 'web; loom; weaving, thread (neut)' (T: 5664) ; *vābha- 'weaving, spinning' (T: 11531)	Inflection: aan-decl/i-decl (Obl): -í, (Pl): -aán
liljegren-LX002261	f_ewzpbbjprv3hu	source-key alias	tríiš	thirteen	num	first-mora	6001	*trayédaśa	2	4	*trayédaśa 'thirteen' (T: 6001)	Morphemic form: tréeš
liljegren-LX002265	f_nxwwzu35he5kg	source-key alias	tríṣṭu	sour, bitter	adj	short-or-diphthong	5938	tr̥ṣṭá-	2	2	tr̥ṣṭá- 'harsh, rough' (T: 5938)	Inflection: Reg (Fem): triṣṭi; Morphemic form: triṣṭ
liljegren-LX002282	f_v2yzc3hdgesis	source-key alias	tuúš	some, a little; a bit, slightly	adj indecl	second-mora	5850	tuččhyá-	2	2	tuččhyá- 'empty, vain; n. emptiness (neut)' (T: 5850)	
