turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry
3451	kr̥ṣṇá	2	2	black	kriṣíṇu [black]	kíṇo	kíṇo	kíṇu	kíṇo			gil:990; koh:991; gur:992; Astor:993	3451 kr̥ṣṇá 'dark blue, black' RV., kŕ̥ṣṇaka- 'blackish' Pāṇ. 2. Nom. prop. esp. of the incarnation of Viṣṇu.
3500	kōṭṭa		2	village			kóoṭ					koh:380	3500 kōṭṭa¹ m. (n. lex.) 'fort' Kathās., kōṭa-¹ m. Vāstuv.
3735	kṣḗtra	1	2	field	c̣híitr [field; (tilled) land]	c̣héec̣		c̣héec̣	c̣héec̣			gil:285; gur:286; Astor:287	3735 kṣḗtra n. 'land' RV. [√kṣi¹]
3781	kháṭvā	1	2	bed				khaṭ	khaṭ			gur:258; Astor:259	3781 kháṭvā f. 'bedstead' Kauś., °vākā- f. Pāṇ., °vikā- Kāś., khaṭṭā- f., °ṭaka- m. Apte. [Cf. khaṭṭi-, khaḍū-¹, khāṭa- m., °ṭā, °ṭĭ̄-, °ṭikā- f. 'bier' lex. and Pa. khaṭōpikā- f. 'bed']
3792	khaṇḍá	2	2	mountain	kháaṇ [mountain; mountain pass; Lowari Pass]	khaṇ	khoṇ; khaṇ	khoṇ				gil:611; koh:612; koh:613; gur:614	3792 khaṇḍá¹ 'broken, crippled' VarBr̥S., 'having gaps or chasms' Suśr., m.n. 'fragment' R., °ḍaka-¹ 'having no nails' lex., °ḍikā- f. Pān. [Cf. 'defective' words listed s.v. baṇḍá-. — √khaṇḍ]
3832	kharvá	2	2	left (direction)		khábo	khábooto	khái	kháau			gil:1074; koh:1075; gur:1077; Astor:1078	3832 kharvá (RV. ákharva-) 'mutilated, imperfect' TS., 'dwarfish' lex., khárvaka- AV., khalvāṭa- 'bald' Bhartr̥. ['Defective' word, cf. *karva- beside Av. kaurva- 'bald' ('short' H. W. Bailey BSOS vi 598 ff.), Pers. karve 'decayed teeth' ← Sogd. krw- W. B. Henning BSOS x 96. EWA i 304 rejects non-IE. origin, but if they are connected with kárvati, khárvati, gárvati 'is haughty' Dhātup., there is the characteristic interchange of initial in such words.]
3865	khā́dati	1	3	to eat	khóo [to eat]	khoók	khoón	khoónu	khoónu			gil:889; koh:890; gur:891; Astor:892	3865 khā́dati 'chews, bites' RV., 'eats' ŚBr. 2. Pp. khāditá- ŚBr. 3. Caus. khādayati Mn. 4. Pass. khādyatē Mr̥cch. [√khād]
3906	khura		2	heel	khur [foot; leg (including the foot)]	khúuri						gil:1382	3906 khura m. 'hoof' KātyŚr̥. 2. *khuḍa-¹ (khuḍaka-, khula° 'ankle-bone' Suśr.). [← Drav. T. Burrow BSOAS xii 376: it belongs to the word-group 'heel-ankle-knee-wrist', see *kuṭṭha-]
4093	gava		2	cow		gáaw						gil:680	4093 gava (in cmpd.) 'cow or bull'. 2. *gavu-. [Cf. -gavī- in cmpd. e.g. strīgavī- f. 'milch-cow' Pāṇ. com. — gṓ-]
4147	*gāva		2	cow	ghaáu [cow]	goó	gáao	gaáu	gaáo			gil:679; koh:681; gur:682; Astor:683	4147 *gāva m. 'ox'. 2. *gāvā- f. 'cow'. 3. gāvī- f. Pat. [gṓ-]
4336	gōṣṭhá	2	2	house	ghoóṣṭ [house, home]	góoṭ	góoṣ	góoṣ	goóṣ			gil:314; koh:315; gur:316; Astor:317	4336 gōṣṭhá m. 'cow-house' RV., 'meeting place' MBh. 2. *gōstha-. [gṓ-, stha-]
4368	grā́ma	1	2	village	ghróom [village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás]				giróom			Astor:379	4368 grā́ma m. 'troop, village' RV., °aka- m. MBh.
4501	ghr̥tá	2	2	ghee	ghiíṛ [ghee; semi-liquid butter (used for cooking)]	gií	gií	gií	gií			gil:297; koh:298; gur:299; Astor:300	4501 ghr̥tá n. 'fluid grease, clarified butter or ghee' RV. [√ghr̥¹]
4655	catvā́raḥ	2	3	four	čúur [four]	cáar	cáar	cáar	cáar			gil:1036; koh:1037; gur:1038; Astor:1039	4655 catvā́raḥ m. pl. 'four' RV. 2. catvā́ri n. pl. 3. catúraḥ m. acc. pl. [catur-]
4701	cárman	1	2	skin		com	com	com	com			gil:123; koh:124; gur:125; Astor:126	4701 cárman n. 'hide, skin' RV.
4855	*cuccu		2	breast	číči [breast (woman's)]	cúcu	cíci					gil:31; koh:32	4855 *cuccu 'female breast, nipple'. 2. *cucci-. [Onom. cf. cūcuka- n. 'nipple' R., cuc°, cucūka- n. lex. (Pa. cūcuka- n., Pk. cūa- n.), cuci- f. W., and further kuca-]
4889	cūrṇa		2	child; small	čúṇu [thin, small]	cúno	cúṇo	cúṇu				gur:163; gur:1143; gil:1141; koh:1142	4889 cūrṇa '*pulverized' ('minute' VarBr̥S.) 2. '*anything ground', cūrṇaka- m. 'ground corn, &amp;c.' 3. n. 'powder' ŚāṅkhŚr., esp. 'lime' VarBr̥S. [Prob. to be separated from cárvati despite EWA i 379 and with F. B. J. Kuiper there quoted]
5075	*jakka		2	hair		jakúr	jáako	jakúu	jaáko			gil:70; koh:71; gur:72; Astor:73	5075 *jakka 'hair'. 2. *jagga-. [See jáṭā-]
5110	jantú	2	2	snake	ǰhanduraá [snake]	jon	judraá	jon	jon			gil:761; gur:762; Astor:763; koh:764	5110 jantú m. 'offspring, creature, man' RV., 'any animal of lowest order, insect, worm' Mn. 2. *jantī-. [√jan]
5198	jā́mātr̥	1	3	son-in-law	ǰhaamatroó [son-in-law; daughter's husband]	jamac̣oó	jamc̣ó	jaməc̣óo	jamac̣óo			gil:235; koh:236; gur:237; Astor:238	5198 jā́mātr̥ m. 'daughter's husband' RV. 2. *jāmātra-, °aka-.
5228	jihvā́	2	2	tongue	ǰip [tongue]	jib	jip	jip	jip			gil:139; koh:140; gur:141; Astor:142	5228 jihvā́ f. 'tongue' RV. 2. juhū́- f. RV.
5301	jyṓtsnā	1	2	moon	yúun [moon; month]	yúun	yúun	yúun	yúun			gil:404; koh:405; gur:406; Astor:407	5301 jyṓtsnā f. 'moonlit night' TBr., 'moonlight' MBh. 2. *yōtsnā- (dissimilated from *dyōtsnā- ?).
5322	*jhaggā		2	churn					jagú			Astor:269	5322 *jhaggā 'froth, scum'. 2. *jhakkā-.
5355	*jhalla		2	forest		jeél	jeél	jeél				gil:596; koh:597; gur:598	5355 *jhalla 'bush'. [Cf. jhāṭa-]
5399	*jhukkati		3	wood		juk						gil:385	5399 *jhukkati 'stoops, breaks'. 2. *jhuṅkati. [Cf. Shgh. ǰuk- 'to beat', Par. ǰukḗw- 'to shake' IIFL i 261. — √*jhukk]
5466	*ṭukk		1	bread		ṭíki	ṭíki; ṭíkki	ṭíki	ṭíki			gil:261; koh:262; koh:263; gur:264; Astor:265	5466 *ṭukk 'cut, break'. 2. *ṭukka- 'piece'. [Poss. &lt; *trukk-, but connexion with √truṭ (as pp. with MIA. -kk- replacing -ita-) very doubtful]
5589	*ḍhiḍḍha		2	belly	ḍheér [belly]	ḍeér	ḍeér	ḍeér	ḍeér			gil:13; koh:14; gur:15; Astor:16	5589 *ḍhiḍḍha² 'belly'. 2. *ḍiḍḍha-. 3. *ḍhiṇḍha-². 4. *ḍhēḍḍha-². 5. *ḍhēṇḍha-². 6. *ḍhēra-². 7. *ḍhaḍḍha-². 8. *dhaḍḍha-. [Same as *ḍhēḍḍha-¹, ḍhēra-¹?]
5637	taṇḍulá	3	3	rice (paddy)			talúuṇ					koh:1417	5637 taṇḍulá m. 'grain, esp. rice, after threshing and winnowing' AV. [Perh. of similar non-Aryan (Drav. Bloch BSOS v 737 or, less probably, Austro-as. S.K. Chatterji ZII ix 32) as *cāmala- cf. esp. forms in K. B. Si.]
5679	taptá	2	2	hot	táatu [hot]	taáto	táto	tátu	tátto			gil:1060; koh:1061; gur:1062; Astor:1063	5679 taptá 'heated, hot' RV. [√tap]
5731	tala		2	roof	talíi [foot-sole]			tal				gur:356	5731 tala n. 'base, bottom' Mn., 'surface, flat roof' MBh., (in cmpd. with 'hand' or 'foot', later alone) 'palm, sole' n. (later m.) MBh. 2. *talla-² (&lt; *talya- ?). [Cf. *tara-³?]
5798	tārā		2	star	tóoru [star]	táaro	táaro	táaru	táaro			gil:421; koh:422; gur:423; Astor:424	5798 tārā f. 'fixed star' Yājñ., tā́raḥ nom. pl. RV. 2. tā́rakā- f. 'star' AV. 3. *tārikā-. 4. tāraká- 'belonging to the stars' VS. [Cf. stŕ̥-]
5806	tiktá	2	2	bitter		c̣íṭo	cíṭo	cíṭu	c̣íṭo			gil:986; koh:987; gur:988; Astor:989	5806 tiktá 'pungent, bitter' MBh., tiktaka- R. [√tij]
5839	tīkṣṇá	2	2	sharp	tíiṇu [sharp]	tíino	tíiṇo	tíiṇu	tíiṇo			gil:1129; koh:1130; gur:1131; Astor:1132	5839 tīkṣṇá 'sharp' RV., 'hot, pungent' MBh. 2. *trīkṣṇa- 'sharp', Tibetan-Sanskrit Dictionary of Dīrghāyu Indrajina folio 98 a 3 has trīkṣṇaṁ = rnaba 'sharp' (H. W. Bailey): prob. X tr̥ṣṭá- (AO xix 95 tīkṣṇá- &gt; *tīkṣra- &gt; *trīkṣa-). [√tij]
5853	tuṇḍa		2	lip	dhut [mouth]		thurúuṭi					koh:101	5853 tuṇḍa n. 'beak, trunk, snout' TĀr. MBh., 'contemptuous term for mouth' Bādar., túṇḍika- 'having a trunk' AV. [Cf. trōṭi- f. 'beak, fish's mouth' lex., and further śuṇḍā-, cañcu-, *cōṇṭa-. Cert. non-Aryan and prob. ← Mu. EWA i 510. Poss. same as tundi- 'navel' and tundá-¹ 'belly' with which it shares several variant forms. Some of these may be due to differences of dialect in the source language, some to phonetic development within IA. (e.g. t-ṭ &gt; ṭ-ṭ), some to slang deformation]
5889	tuvám	2	2	you (sg.)	tu [you (2sg nom subject or direct object)]	tu	tu					gil:1303; koh:1305	5889 tuvám (metr.), tvám 'thou'. 2. Acc. tuvā́m (metr.), tvā́m. 3. Inst. tvā́ 4. Gen. táva. 5. Dat. túbhya{m} RV.
5988	traṭ		1	lightning				traṭ				gur:403	5988 traṭ 'crackle', traṭiti HPariś., traṭa-traṭa- Pañcad., traṭatkāra- m. Alaṁkārat., taṭati 'rumbles' ṢaḍvBr. [Cf. *traṭṭ-, *taḍapphaḍ-]
5994	tráyaḥ	1	2	three	tróo [three]	c̣ée	c̣ée		c̣ée			gil:1162; koh:1163; Astor:1165	5994 tráyaḥ nom. m. 'three' RV. 2. *trāyaḥ cf. Av. θrāyō NTS xii 131. 3. trī́ṇi nom. acc. n. RV. 4. trīṇā́m gen. m. n. [tri-]
6119	dákṣiṇa	1	3	right (direction)	deec̣híṇu [right]	dac̣híno	dac̣híṇo	dac̣íṇu	daṣínu			gil:1112; koh:1114; gur:1115; Astor:1116	6119 dákṣiṇa 'right (hand)' RV., 'southern' AV. [√dakṣ]
6152	dánta	1	2	tooth	dáand [tooth]	don	don	don	don			gil:143; koh:144; gur:145; Astor:146	6152 dánta m. 'tooth' RV. [dánt- RV.]
6227	dáśa	1	2	ten	dáaš [ten]	day	dáai	dái	dái			gil:1149; koh:1150; gur:1151; Astor:1152	6227 dáśa 'ten' RV.
6250	*dāṁṣṭra		2	beard	déeṛi [beard]	dáa~y	dáae	dái~	dá~i~			gil:9; koh:10; gur:11; Astor:12	6250 *dāṁṣṭra 'fang, tusk, beard'. [dáṁṣṭra- n. 'tusk, fang' RV., daṁṣṭrā- f. Pāṇ. MBh.; daṁṣṭrikā- f. 'tusk, beard' lex.; dāḍhā- f. 'tusk' lex., dāḍhikā- f. 'beard' Mn., dāḍaka- m. 'tooth' lex. Semant. development 'fang — tusk — beard' is possible (Rivet BSL 83, 143). But MIA. dāṭhā- &lt; daṁṣṭrā- is phonet. difficult. On the other hand *dāṁṣṭra- (with vr̥ddhi-formation meaning 'pertaining to or collection of fangs' (cf. A. dār below) &gt; 'fang', cf. Wackernagel AiGr ii 2, 130 and 132) would in MIA. become NWPk. *dāṭṭha- (in S. P. WPah. below), central daṁṭha-, daṭṭha-, amg. dāṭha-, dāḍha- (with simplification of consonant-group after orig. IA. long vowel), spread of which at the cost of daṭṭha- was favoured by clash of the latter with daṭṭha- &lt; daṣṭa- and dr̥ṣṭá-. Possibility of further Drav. (J. Bloch BSOS v 741) or Mu. (PMWS 63) influence cannot be excluded. — √daṁś]
6260	dā́tra	1	2	sickle					dáli			Astor:366	6260 dā́tra² n. 'knife, sickle' RV. 2. *dātrī- of which dāti- f. Gal. is MIA. form. [Northern word Pat. MBhāṣ. i 9, 27 which may account for NW forms in H. and Brj. — √dō]
6273	dāntá	2	2	bull				dóonu				gur:659	6273 dāntá 'tamed' TBr., m. 'tamed ox' Rājat. [√dam]
6324	dāhayati		4	to burn (intr.); to burn (tr.)			dajoón	dajoónu; dayoónu	dajoónu; dayoónu			koh:864; gur:865; gur:869; Astor:866; Astor:870	6324 dāhayati 'causes to be burnt' Mn. 2. dāhita-. [√dah]
6333	divasá	3	3	day	deés [day; point in time]	déez	deés	dées	déez			gil:448; koh:449; gur:450; Astor:451	6333 divasá m. 'heaven' TBr., 'day' MBh. [√div¹]
6343	diṣṭi		2	handspan	diṣṭ [hand-span (as a measure)]	diṭ	diṣ	dríṣṭɨ	diṣṭ			gil:306; koh:307; gur:308; Astor:309	6343 diṣṭi f. 'a measure of length' Kauś. 2. *driṣṭi-. [Av. dišti- f. 'id.'; *driṣṭi- &lt; dŕ̥ṣṭi- given meaning of diṣṭi- owing to confusion of the two groups from dr̥ś- and diś- ? — √diś]
6368	dīrghá	2	2	long	dhrígu [long, tall]	j̣ígo	ẓígo	j̣ígu				gil:1079; koh:1080; gur:1081	6368 dīrghá 'long, tall, deep' RV. [~ *draṅgha-¹]
6391	dugdhá	2	2	milk		dut	dut	dut	dut			gil:339; koh:340; gur:341; Astor:342	6391 dugdhá n. 'milk' AV. [√duh]
6481	duhitŕ̥	3	3	daughter	dhií [daughter]	dií	dií	dií	diíh			gil:165; koh:166; gur:167; Astor:168	6481 duhitŕ̥ f. 'daughter' RV.
6495	dūrá	2	2	far	dhúura [far away; away]	duúr	dúur	dúur	dúur			gil:1344; koh:1345; gur:1346; Astor:1347	6495 dūrá 'distant' RV., n. 'distance' ŚBr., dūrám, dūrḗ adv. 'far away' RV. [~ *dūna-². — √du³]
6648	dva		1	two	dúu [two]	dúu	dúu	dúu	du			gil:1183; koh:1184; gur:1185; Astor:1186	6648 dva 'two': m. dvaú (duvaú), dvā́ (duvā́), f.n. dvḗ (duvḗ) RV.
6658	dvā́daśa	1	3	twelve	bóoš [twelve]	báay	báai	báai	báai			gil:1171; koh:1172; gur:1173; Astor:1174	6658 dvā́daśa 'twelve' RV. 2. duvā́daśa RV.
6849	dhūmá	2	2	smoke	dhuumíi [smoke, fume]	duúm	duúm	duúm	duúm			gil:367; koh:368; gur:369; Astor:370	6849 dhūmá m. 'smoke, vapour, mist' RV. 2. dhūmikā- f. 'smoke' Kathās., 'fog' lex., or *dhūmiyā-, dhūmyā- f. 'thick cloud of smoke' Mālatīm.
6906	ná	1	1	not	na [not; don't]		na					koh:1217	6906 ná 'not' RV.
6920	nakhará	3	3	fingernail		nóoro	núuro	nóor	nóor			gil:58; koh:59; gur:60; Astor:61	6920 nakhará 'shaped like a claw' ŚBr., m.n. 'claw' Pañcat., 'nail-scratch' Cat. [nakhá-]
6983	náva	1	2	new	náawu [new]	naáwo	nóo~	náa~	náu~			gil:1088; koh:1089; gur:1090; Astor:1091	6983 náva¹ 'new, young' RV., navaka-¹ Vās.
6984	náva	1	2	nine	núu [nine]	naw		náu	náu			gil:1092; gur:1094; Astor:1095	6984 náva² 'nine' RV.
7031	nasta		2	nose	náas [nose]	náto	nóthi	nótu	náto			gil:119; koh:120; gur:121; Astor:122	7031 nasta m. 'nose' lex. 2. nastaka- m. 'septum of nose, hole bored through it in oxen' MBh. 3. *nastī-. 4. *nastu-. 5. nastā- f. 'hole bored in septum of nose' lex. 6. *nastya-. [A stem *nast- perh. in nastás 'from or into the nose' ŚBr. and in Ir. *nāstĭ̄ &gt; Par. nēšt 'nose' IIFL i 277, poss. also in *nakka- if &lt; *nastka-]
7067	nā́man	1	2	name	nóo [name]	nóom	núum	nóom	nóom			gil:218; koh:219; gur:220; Astor:221	7067 nā́man n. 'name' RV.
7200	nidrā́	2	2	sleep	níindra [sleep]	nir						gil:1433	7200 nidrā́ f. 'sleep' RV. [√drai]
7266	niranna		3	hungry		niráno		niróṇu	nirónu			gil:1070; gur:1072; Astor:1073	7266 niranna 'starving' MBh. 2. *niyanna-. [ánna-: for niy- cf. nyarṇa- 'waterless' ŚāṅkhŚr. Confusion of ni and nis due to their falling together before words beginning s+consonant and wider confusion in MIA.; or poss. ni-a- &lt; *niẓ a- with an original normal development of final -ẓ, see nírēti]
7563	nī́la	1	2	green	níilu [green, blue]	níilo	níilo	níilu	níilu			gil:1056; koh:1057; gur:1058; Astor:1059	7563 nī́la 'dark blue, dark green, black' RV., nīlaka- lex. 2. nī́la- n. 'blue substance' ŚBr., 'indigo' Yājñ.
7627	pakṣá	2	2	feather				páṭu				gur:693	7627 pakṣá m. 'wing, feather, fin, shoulder, side' RV., 'side of a building' AV., 'party, troop' MBh., pákṣas- n. 'side' RV., 'side of door' VS., pakṣaka- m. 'side' Śiś., 'fan' Gal.
7655	páñca	1	2	five	páanǰ [five]	poš	poš	po~š	po~š			gil:1028; koh:1029; gur:1030; Astor:1031	7655 páñca 'five'.
7662	páñcadaśa	1	4	fifteen	panǰíiš [fifteen]	panzéy						gil:1024	7662 páñcadaśa 'fifteen' RV.
7733	páttra	1	2	leaf		páṭo	páṭho	páṭu	páṭo			gil:814; koh:815; gur:816; Astor:817	7733 páttra n. 'wing-feather' VS., 'wing' (in cmpd.) RV., 'leaf, petal' KātyŚr., 'leaf of book' Kāv., °traka- m.n. lex., °trikā- f. Kāv. [&lt; earlier pátra- Wackernagel AiGr ii 2, 855. — See also paṭṭa-¹. — √pat]
7785	pánthā	1	2	path	páand [path, road]	pon	pon	pon	pon			gil:344; koh:345; gur:346; Astor:347	7785 pánthā m. 'path, road' RV.
8019	pāṁśu		2	fertilizer		páaṣ	páaṣ	páaṣ	páaṣ			gil:280; koh:281; gur:282; Astor:283	8019 pāṁśu (MBh.), pāṁsú- (AV.) m. 'crumbling soil, dust, sand' AV., 'dung, manure', pāṁśuka- m. 'dust' MBh. [pāṁsú- is the earlier spelling, but pāṁśu- appears to be attested by Gy., Kaf., and poss. the somewhat doubtful Dard. forms (all others are indifferent). The s of Av. paͅsnu- and OSlav. pěsƶkƶ has been assumed to be original (IEW 824, EWA ii 243), but it may represent IE. s or k̂. Cf. similar confusion between s and ś in síkatā- with reciprocal borrowing between IA. and Ir.]
8056	pā́da	1	2	foot		páa	páa~	páa	páa			gil:66; koh:67; gur:68; Astor:69	8056 pā́da m. 'foot' RV., 'foot or leg of inanimate object' AV., pādaká- m. 'small foot' RV. 2. 'a fourth part, line of a verse' ŚBr. [In many NIA. forms a final -u or -v   may be &lt; nom. and acc. sg. m. -ō, -aṁ which, confined originally to dir. sg. (~ obl. sg. and pl. stem pā{y}-), were often incorporated in the stem and even in derivatives. Possibly however, though not very probably, some of these forms are &lt; pādú- q.v. — Words for 'quarter' with -u or -v are still more probably &lt; nom. and acc. sg. pādō, °daṁ. — pád-²]
8188	pítriya	1	3	father's brother	pitrí [uncle; father's brother; father's cousin]	picáa	picáar	pic̣íi				gil:179; koh:180; gur:181	8188 pítriya 'paternal' (metr.) RV., m. 'eldest brother who takes place of father' lex. 2. pítrya- RV. [Replaces pitr̥vya- m. 'father's brother' Mn. — pitŕ̥-]
8201	pipīlá	3	3	ant	pilíilu [ant]	philíili	phibíili	pfiliíli	philíili			gil:639; koh:640; gur:641; Astor:642	8201 pipīlá m. 'ant' RV., °laka- m. 'large black ant' ChUp., pipī́likā- f. 'small red ant' AV., pīlaka- m. 'ant' lex. 2. *piphīla-. 3. *pippīla-. 4. *pipphīla-. 5. *pippīḍa-. 6. *pilīla-. [Variety of MIA. and NIA. forms for 'ant' may be due partly to its (unknown) nonAryan origin (EWA ii 285), partly to contamination with kīṭá- and kŕ̥mi-, but mainly to some sort of taboo for a noxious insect. Although there appear to be six main types, not all NIA. forms can be grouped exactly under them]
8249	púccha	1	2	tail		phacoó						gil:765	8249 púccha m.n. 'tail, hinder part' AV., pucchaka- n. lex. [See piccha-]
8265	putrá	2	2	son	putr [son]	puc̣	puc̣	puc̣	puc̣			gil:230; koh:231; gur:232; Astor:233	8265 putrá¹ m. 'son' RV.
8298	*puśśī		2	cat (m.); cat (f.)	púši [cat]		púšo; púši	púšu; púši	píši			koh:667; koh:672; gur:668; gur:673; Astor:674	8298 *puśśī 'cat'. [Onom., cf. Psht. pišō, Pers. pušek, Eng. puss]
8416	paútra	1	2	grandson	púutru [grandson; son's son]	póoc̣o	póoc̣o	póoc̣o	póoc̣o			gil:191; koh:192; gur:193; Astor:194	8416 paútra m. 'son's son' AV., pautraka- m. Kāv. [putrá-¹]
8417	pautrī		2	granddaughter	púutri [granddaughter; son's daughter]	póoc̣i	póoc̣i	póoc̣i	póoc̣i			gil:187; koh:188; gur:189; Astor:190	8417 pautrī f. 'son's daughter' MBh. [páutra-]
